OG_name,OG size (number of genomes),OG size (total number of genes),CAI_mean,knum,knum_description,Ecoli_APEC_O1,Ecoli_JJ1886,Ecoli_UMN026,Sboydii_Sb227,Sflexneri_5_8401
OG_10,3,3,0.354,K12148,"K12148 (biofilm regulator BssS, https://www.genome.jp/entry/K12148)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1007,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1103,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1190,,
OG_11,5,5,0.349,K12149,"K12149 (DNA-damage-inducible protein I, https://www.genome.jp/entry/K12149)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1008,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1104,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1191,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2122,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1165
OG_12,5,5,0.429,,,Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1009,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1105,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1192,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2121,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1166
OG_13,5,5,0.336,K00859,"K00859 (dephospho-CoA kinase [EC:2.7.1.24], https://www.genome.jp/entry/K00859)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_101,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_106,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_99,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_87,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_97
OG_14,5,5,0.398,,,Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1010,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1106,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1193,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2120,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1167
OG_15,5,5,0.379,K03675,"K03675 (glutaredoxin 2, https://www.genome.jp/entry/K03675)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1011,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1107,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1194,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2119,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1168
OG_16,5,5,0.345,K08162,"K08162 (MFS transporter, DHA1 family, multidrug resistance protein, https://www.genome.jp/entry/K08162)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1012,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1108,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1195,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2118,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1169
OG_17,5,5,0.346,K03790,"K03790 ([ribosomal protein S5]-alanine N-acetyltransferase [EC:2.3.1.267], https://www.genome.jp/entry/K03790)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1013,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1109,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1196,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2117,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1170
OG_18,5,5,0.392,K09915,"K09915 (uncharacterized protein, https://www.genome.jp/entry/K09915)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1014,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1110,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1197,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2116,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1171
OG_19,5,5,0.329,K03810,"K03810 (virulence factor, https://www.genome.jp/entry/K03810)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1015,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1111,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1198,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2115,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1172
OG_20,5,5,0.338,K03980,"K03980 (putative peptidoglycan lipid II flippase, https://www.genome.jp/entry/K03980)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1016,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1112,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1199,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2114,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1173
OG_21,5,5,0.323,K02399,"K02399 (flagellar biosynthesis protein FlgN, https://www.genome.jp/entry/K02399)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1017,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1113,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1200,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2113,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1174
OG_22,5,5,0.385,K02398,"K02398 (negative regulator of flagellin synthesis FlgM, https://www.genome.jp/entry/K02398)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1018,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1114,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1201,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2112,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1175
OG_23,5,5,0.256,K02386,"K02386 (flagellar basal body P-ring formation protein FlgA, https://www.genome.jp/entry/K02386)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1019,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1115,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1202,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2111,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1176
OG_24,5,5,0.527,K00364,"K00364 (GMP reductase [EC:1.7.1.7], https://www.genome.jp/entry/K00364)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_102,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_107,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_100,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_88,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_98
OG_25,5,5,0.359,K02387,"K02387 (flagellar basal-body rod protein FlgB, https://www.genome.jp/entry/K02387)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1020,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1116,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1203,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2110,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1177
OG_26,4,4,0.378,K02388,"K02388 (flagellar basal-body rod protein FlgC, https://www.genome.jp/entry/K02388)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1021,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1117,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1204,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2109,
OG_27,5,5,0.382,K02389,"K02389 (flagellar basal-body rod modification protein FlgD, https://www.genome.jp/entry/K02389)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1022,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1118,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1205,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2108,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1180
OG_28,5,5,0.425,K02390,"K02390 (flagellar hook protein FlgE, https://www.genome.jp/entry/K02390)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1023,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1119,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1206,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2107,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1181
OG_29,5,5,0.339,K02391,"K02391 (flagellar basal-body rod protein FlgF, https://www.genome.jp/entry/K02391)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1024,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1120,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1207,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2106,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1182
OG_30,5,5,0.401,K02392,"K02392 (flagellar basal-body rod protein FlgG, https://www.genome.jp/entry/K02392)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1025,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1121,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1208,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2105,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1183
OG_31,5,5,0.383,K02393,"K02393 (flagellar L-ring protein FlgH, https://www.genome.jp/entry/K02393)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1026,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1122,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1209,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2104,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1184
OG_32,5,5,0.327,K02394,"K02394 (flagellar P-ring protein FlgI, https://www.genome.jp/entry/K02394)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1027,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1123,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1210,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2103,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1185
OG_33,5,5,0.37,K02395,"K02395 (peptidoglycan hydrolase FlgJ, https://www.genome.jp/entry/K02395)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1028,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1124,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1211,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2102,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1186
OG_34,4,4,0.396,K02396,"K02396 (flagellar hook-associated protein 1, https://www.genome.jp/entry/K02396)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1029,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1125,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1212,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2101,
OG_35,5,5,0.278,K02505,"K02505 (protein transport protein HofC, https://www.genome.jp/entry/K02505)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_103,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_108,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_101,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_89,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_99
OG_36,5,5,0.389,K02397,"K02397 (flagellar hook-associated protein 3 FlgL, https://www.genome.jp/entry/K02397)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1030,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1126,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1213,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2100,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1189
OG_37,5,5,0.543,K08300,"K08300 (ribonuclease E [EC:3.1.26.12], https://www.genome.jp/entry/K08300)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1031,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1127,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1216,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2099,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1190
OG_38,5,5,0.409,K06179,"K06179 (23S rRNA pseudouridine955/2504/2580 synthase [EC:5.4.99.24], https://www.genome.jp/entry/K06179)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1032,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1128,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1217,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2096,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1191
OG_39,5,5,0.316,K25422,"K25422 (7-methyl-GTP pyrophosphatase [EC:3.6.1.-], https://www.genome.jp/entry/K25422)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1033,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1129,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1218,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2095,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1192
OG_40,5,5,0.421,K07040,"K07040 (DUF177 domain-containing protein, https://www.genome.jp/entry/K07040)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1034,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1130,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1219,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2094,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1193
OG_41,5,5,0.668,K02911,"K02911 (large subunit ribosomal protein L32, https://www.genome.jp/entry/K02911)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1035,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1131,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1220,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2093,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1194
OG_42,5,5,0.248,K03621,"K03621 (phosphate acyltransferase [EC:2.3.1.274], https://www.genome.jp/entry/K03621)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1036,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1132,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1221,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2092,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1195
OG_43,5,5,0.44,K00648,"K00648 (3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180], https://www.genome.jp/entry/K00648)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1037,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1133,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1222,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2091,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1196
OG_44,5,5,0.513,K00645,"K00645 ([acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39], https://www.genome.jp/entry/K00645)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1038,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1134,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1223,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2090,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1197
OG_45,5,5,0.496,K00059,"K00059 (3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100], https://www.genome.jp/entry/K00059)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1039,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1135,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1224,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2089,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1198
OG_46,5,5,0.297,,,Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_104,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_109,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_102,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_91,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_101
OG_47,5,5,0.714,K02078,"K02078 (acyl carrier protein, https://www.genome.jp/entry/K02078)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1040,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1136,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1225,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2088,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1199
OG_48,5,5,0.508,K09458,"K09458 (3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179], https://www.genome.jp/entry/K09458)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1041,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1137,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1226,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2087,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1200
OG_49,5,5,0.276,K02619,"K02619 (4-amino-4-deoxychorismate lyase [EC:4.1.3.38], https://www.genome.jp/entry/K02619)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1042,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1138,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1228,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2086,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1201
OG_50,5,5,0.383,K07082,"K07082 (peptidoglycan lytic transglycosylase G [EC:4.2.2.29], https://www.genome.jp/entry/K07082)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1043,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1139,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1229,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2085,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1202
OG_51,5,5,0.395,K00943,"K00943 (dTMP kinase [EC:2.7.4.9], https://www.genome.jp/entry/K00943)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1044,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1140,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1230,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2084,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1203
OG_52,5,5,0.321,K02341,"K02341 (DNA polymerase III subunit delta' [EC:2.7.7.7], https://www.genome.jp/entry/K02341)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1045,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1141,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1231,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2083,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1204
OG_53,5,5,0.412,K03424,"K03424 (TatD DNase family protein [EC:3.1.21.-], https://www.genome.jp/entry/K03424)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1046,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1142,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1232,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2082,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1205
OG_54,5,5,0.592,K02779,"K02779 (glucose PTS system EIICB or EIICBA component [EC:2.7.1.199], https://www.genome.jp/entry/K02779)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1047,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1143,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1233,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2081,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1206
OG_55,5,5,0.396,K02014;K16088,"K02014 (iron complex outermembrane recepter protein, https://www.genome.jp/entry/K02014);K16088 (outer-membrane receptor for ferric coprogen and ferric-rhodotorulic acid, https://www.genome.jp/entry/K16088)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1048,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1144,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1234,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2080,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1207
OG_56,5,5,0.431,K02503,"K02503 (histidine triad (HIT) family protein [EC:3.9.1.-], https://www.genome.jp/entry/K02503)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1049,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1145,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1235,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2078,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1208
OG_57,4,4,0.328,K02682,"K02682 (prepilin peptidase dependent protein D, https://www.genome.jp/entry/K02682)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_105,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_110,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_103,,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_102
OG_58,5,5,0.242,,,Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1050,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1146,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1236,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2077,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1209
OG_59,5,5,0.353,K07337,"K07337 (penicillin-binding protein activator, https://www.genome.jp/entry/K07337)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1051,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1147,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1237,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2076,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1210
OG_60,5,5,0.237,K07251,"K07251 (thiamine kinase [EC:2.7.1.89], https://www.genome.jp/entry/K07251)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1052,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1148,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1238,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2075,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1211
OG_61,5,5,0.384,K01207,"K01207 (beta-N-acetylhexosaminidase [EC:3.2.1.52], https://www.genome.jp/entry/K01207)",Ecoli_APEC_O1:gi|117622295|ref|NC_008563.1|_1053,Ecoli_JJ1886:gi|556550243|ref|NC_022648.1|_1149,Ecoli_UMN026:gi|218703261|ref|NC_011751.1|_1239,Sboydii_Sb227:gi|82542618|ref|NC_007613.1|_2074,Sflexneri_5_8401:gi|110804074|ref|NC_008258.1|_1212
