query,Chlamydia_abortus_strain_162STDY5437294,Chlamydia_abortus_strain_1B_cevac,Chlamydia_abortus_strain_GIMC_2006CabB577,Chlamydia_abortus_strain_NL2335-4C,Chlamydia_abortus_strain_NL2354-2D,Chlamydia_avium_10DC88,Chlamydia_buteonis_strain_IDL17-4553,Chlamydia_caviae_GPIC,Chlamydia_crocodili_strain_No._12,Chlamydia_felis_FeC-56,Chlamydia_gallinacea_08-12743,Chlamydia_muridarum_str._Nigg,Chlamydia_muridarum_str._Nigg_isolate_CM001,Chlamydia_muridarum_str._Nigg_isolate_CM008,Chlamydia_muridarum_str._Nigg_isolate_CM009,Chlamydia_muridarum_str._Nigg_isolate_CM021,Chlamydia_pecorum_E58,Chlamydia_poikilotherma_strain_S15-834K,Chlamydia_psittaci_01DC11,Chlamydia_psittaci_6BC,Chlamydia_psittaci_MN,Chlamydia_psittaci_WSRTE30,Chlamydia_psittaci_strain_AMK,Chlamydia_psittaci_strain_Ful127,Chlamydia_psittaci_strain_GIMC_2003Cps25SM,Chlamydia_psittaci_strain_GIMC_2004CpsAP23,Chlamydia_psittaci_strain_GIMC_2005CpsCP1,Chlamydia_psittaci_strain_NRM_isolate_NRM_5,Chlamydia_serpentis_strain_H15-1957-10C,Chlamydia_suis_isolate_4-29b,Chlamydia_trachomatis_A2497,Chlamydia_trachomatis_EBour,Chlamydia_trachomatis_L1115,Chlamydia_trachomatis_L2b820007,Chlamydia_trachomatis_L2bUCH-2,Chlamydia_trachomatis_RC-L255,Chlamydia_trachomatis_strain_E-32931,Chlamydia_trachomatis_strain_QH111L,Chlamydia_trachomatis_strain_tet9,Chlamydophila_parapsittaci_strain_Rostinovo-70,Waddlia_chondrophila_WSU_86-1044,max_value,max_column
Chlamydia_gallinacea_08-12743,78.1179,78.1179,78.1017,78.1895,78.1895,81.9701,78.2326,78.4791,78.3511,77.9562,100.0,,,,,,,78.256,77.9437,78.0303,78.0743,77.9071,78.0073,78.0376,77.927,77.9591,77.9754,78.1143,77.4479,,,,,,,,,,,77.9859,,81.9701,Chlamydia_avium_10DC88
Chlamydia_muridarum_str._Nigg,,,,,,,,,,,,100.0,99.9946,99.9952,99.9946,99.9939,,,,,,,,,,,,,,82.5623,81.9395,82.08,82.0604,82.0097,82.0097,81.907,82.0798,81.9005,82.2776,,,99.9952,Chlamydia_muridarum_str._Nigg_isolate_CM008
Chlamydia_muridarum_str._Nigg_isolate_CM001,,,,,,,,,,,,99.9946,100.0,99.9973,99.9968,99.9964,,,,,,,,,,,,,,82.6226,81.9794,82.0791,82.0907,82.0373,82.0373,81.9329,82.0642,81.9144,82.2661,,,99.9973,Chlamydia_muridarum_str._Nigg_isolate_CM008
Chlamydia_muridarum_str._Nigg_isolate_CM008,,,,,,,,,,,,99.9952,99.9973,100.0,99.9982,99.9971,,,,,,,,,,,,,,82.5741,81.9501,82.079,82.0697,82.064,82.064,81.9108,82.0755,81.8972,82.2789,,,99.9982,Chlamydia_muridarum_str._Nigg_isolate_CM009
Chlamydia_muridarum_str._Nigg_isolate_CM009,,,,,,,,,,,,99.9947,99.9967,99.9982,100.0,99.9965,,,,,,,,,,,,,,82.5919,81.9512,82.0849,82.0803,82.0396,82.0396,81.9064,82.0637,81.9295,82.2779,,,99.9982,Chlamydia_muridarum_str._Nigg_isolate_CM008
Chlamydia_muridarum_str._Nigg_isolate_CM021,,,,,,,,,,,,99.9938,99.9964,99.9971,99.9964,100.0,,,,,,,,,,,,,,82.6062,81.9733,82.0786,82.0531,82.0616,82.0616,81.9098,82.0513,81.978,82.2454,,,99.9971,Chlamydia_muridarum_str._Nigg_isolate_CM008
Chlamydia_pecorum_E58,77.2971,77.2971,77.3546,77.3468,77.3468,,77.5231,77.7045,77.2532,,,,,,,,100.0,77.3554,77.6657,77.4549,77.6883,77.7585,77.481,77.7377,77.664,77.6657,77.6657,77.609,,,,,,,,,,,,77.481,,77.7585,Chlamydia_psittaci_WSRTE30
Chlamydia_poikilotherma_strain_S15-834K,83.0727,83.0727,83.0685,83.1673,83.169,78.3651,83.7285,87.0928,92.4468,83.7804,78.2206,,,,,,,100.0,83.5192,83.6656,83.5343,83.6472,83.5046,83.6111,83.43,83.5479,83.5479,83.4701,77.8635,,,,,,,,,,,83.4476,,92.4468,Chlamydia_crocodili_strain_No._12
Chlamydia_psittaci_01DC11,92.8508,92.8504,92.8399,92.9295,92.9256,78.2024,93.7621,83.265,83.6508,82.7128,78.1599,,,,,,77.7827,83.6542,100.0,99.9795,99.3221,98.8312,98.5791,99.4734,99.9453,99.9849,99.985,99.3166,77.7122,,,,,,,,,,,98.5844,,99.985,Chlamydia_psittaci_strain_GIMC_2005CpsCP1
Chlamydia_psittaci_6BC,92.8631,92.8623,92.8776,92.9433,92.9387,78.4498,93.7108,83.3464,83.5512,82.715,78.0703,,,,,,77.4287,83.7019,99.9816,100.0,99.327,98.8984,98.5578,99.4761,99.9575,99.9885,99.9885,99.323,77.8813,,,,,,,,,,,98.5801,,99.9885,Chlamydia_psittaci_strain_GIMC_2004CpsAP23
Chlamydia_psittaci_MN,92.7231,92.7228,92.7276,92.8225,92.8232,78.1502,93.5076,83.2881,83.4206,82.6676,77.9642,,,,,,77.8862,83.4558,99.3129,99.3199,100.0,98.6947,98.2648,99.1949,99.2997,99.3197,99.3195,99.9649,77.4955,,,,,,,,,,,98.2454,,99.9649,Chlamydia_psittaci_strain_NRM_isolate_NRM_5
Chlamydia_psittaci_WSRTE30,93.2677,93.2675,93.2574,93.2165,93.2324,78.412,93.7056,83.2391,83.6308,82.8261,77.9381,,,,,,77.7104,83.5098,98.8162,98.8264,98.6101,100.0,99.5429,98.7371,98.8074,98.8202,98.8203,98.6087,77.6157,,,,,,,,,,,99.5446,,99.5446,Chlamydophila_parapsittaci_strain_Rostinovo-70
Chlamydia_psittaci_strain_AMK,93.3865,93.3857,93.3649,93.4002,93.3959,78.4305,93.6357,83.1508,83.4252,82.8871,77.9359,,,,,,77.7431,83.4194,98.5352,98.5372,98.3594,99.5412,100.0,98.4189,98.5027,98.571,98.5711,98.2436,77.6997,,,,,,,,,,,99.9916,,99.9916,Chlamydophila_parapsittaci_strain_Rostinovo-70
Chlamydia_psittaci_strain_Ful127,92.8676,92.8671,92.857,93.0164,93.0239,78.4369,93.6803,83.2983,83.5481,82.8785,78.1409,,,,,,77.8045,83.5769,99.5069,99.5081,99.2313,98.8284,98.4798,100.0,99.4492,99.5127,99.5129,99.2331,77.3993,,,,,,,,,,,98.4773,,99.5129,Chlamydia_psittaci_strain_GIMC_2005CpsCP1
Chlamydia_psittaci_strain_GIMC_2003Cps25SM,92.864,92.8635,92.8579,92.8749,92.8749,78.559,93.7117,83.1548,83.489,82.6994,78.1297,,,,,,77.3574,83.426,99.9513,99.9576,99.2814,98.8657,98.5197,99.4512,100.0,99.9655,99.9656,99.2817,,,,,,,,,,,,98.5231,,99.9656,Chlamydia_psittaci_strain_GIMC_2005CpsCP1
Chlamydia_psittaci_strain_GIMC_2004CpsAP23,92.8433,92.8427,92.835,92.9472,92.9481,78.4056,93.725,83.2094,83.493,82.6306,78.2609,,,,,,77.7602,83.5869,99.985,99.9865,99.3211,98.844,98.5329,99.4789,99.9617,100.0,99.9996,99.3194,77.8144,,,,,,,,,,,98.4984,,99.9996,Chlamydia_psittaci_strain_GIMC_2005CpsCP1
Chlamydia_psittaci_strain_GIMC_2005CpsCP1,92.8413,92.841,92.8396,92.943,92.9467,78.2513,93.7341,83.2167,83.469,82.641,78.2479,,,,,,77.7711,83.5516,99.985,99.9863,99.3277,98.9073,98.596,99.4796,99.9618,99.9995,100.0,99.3193,77.7616,,,,,,,,,,,98.5607,,99.9995,Chlamydia_psittaci_strain_GIMC_2004CpsAP23
Chlamydia_psittaci_strain_NRM_isolate_NRM_5,92.7652,92.7651,92.7377,92.7452,92.742,78.2198,93.5886,83.166,83.461,82.713,78.1869,,,,,,77.6355,83.4816,99.3105,99.3091,99.9646,98.6592,98.2424,99.1939,99.2988,99.3134,99.3136,100.0,77.6094,,,,,,,,,,,98.2309,,99.9646,Chlamydia_psittaci_MN
Chlamydia_serpentis_strain_H15-1957-10C,77.7279,77.7279,77.724,77.7612,77.7612,,,77.9984,78.084,,77.4082,,,,,,,77.8353,77.6784,77.8596,,77.7705,77.4771,77.8636,77.8467,77.6547,77.6547,,100.0,,,,,,,,,,,77.6763,,78.084,Chlamydia_crocodili_strain_No._12
Chlamydia_suis_isolate_4-29b,,,,,,,,,,,,82.7362,82.7317,82.7284,82.7317,82.6825,,,,,,,,,,,,,,100.0,81.0986,81.3185,81.2394,81.2945,81.2945,81.391,81.4824,81.1151,81.9571,,,82.7362,Chlamydia_muridarum_str._Nigg
Chlamydia_trachomatis_A2497,,,,,,,,,,,,82.0864,82.1562,82.1617,82.1521,82.1691,,,,,,,,,,,,,,81.1075,100.0,99.2526,99.0951,99.0926,99.0926,99.1253,99.264,99.7407,98.981,,,99.7407,Chlamydia_trachomatis_strain_QH111L
Chlamydia_trachomatis_EBour,,,,,,,,,,,,82.0382,82.0017,82.0064,81.9869,81.9949,,,,,,,,,,,,,,81.3972,99.2446,100.0,99.1764,99.1818,99.1821,99.2323,99.8933,99.259,99.0487,,,99.8933,Chlamydia_trachomatis_strain_E-32931
Chlamydia_trachomatis_L1115,,,,,,,,,,,,82.3515,82.3172,82.2975,82.3096,82.3122,,,,,,,,,,,,,,81.4477,99.0904,99.1742,100.0,99.9448,99.9447,99.901,99.1733,99.1089,99.8166,,,99.9448,Chlamydia_trachomatis_L2b820007
Chlamydia_trachomatis_L2b820007,,,,,,,,,,,,82.3689,82.3323,82.3373,82.3282,82.3309,,,,,,,,,,,,,,81.2831,99.0888,99.1803,99.9441,100.0,99.9998,99.9012,99.183,99.107,99.8169,,,99.9998,Chlamydia_trachomatis_L2bUCH-2
Chlamydia_trachomatis_L2bUCH-2,,,,,,,,,,,,82.3665,82.3302,82.3352,82.3261,82.3288,,,,,,,,,,,,,,81.283,99.089,99.1803,99.9441,99.9998,100.0,99.9012,99.183,99.1071,99.817,,,99.9998,Chlamydia_trachomatis_L2b820007
Chlamydia_trachomatis_RC-L255,,,,,,,,,,,,82.2499,82.2015,82.1991,82.1989,82.2628,,,,,,,,,,,,,,81.187,99.1275,99.228,99.9025,99.9011,99.9011,100.0,99.2207,99.1287,99.8156,,,99.9025,Chlamydia_trachomatis_L1115
Chlamydia_trachomatis_strain_E-32931,,,,,,,,,,,,82.1774,82.1288,82.1396,82.1194,82.124,,,,,,,,,,,,,,81.72,99.2469,99.8793,99.1685,99.1727,99.1731,99.2134,100.0,99.276,99.0563,,,99.8793,Chlamydia_trachomatis_EBour
Chlamydia_trachomatis_strain_QH111L,,,,,,,,,,,,81.9232,81.9809,81.9863,81.9683,81.9855,,,,,,,,,,,,,,81.3091,99.7389,99.2593,99.1155,99.1148,99.1148,99.1351,99.2822,100.0,99.1117,,,99.7389,Chlamydia_trachomatis_A2497
Chlamydia_trachomatis_strain_tet9,,,,,,,,,,,,82.0907,82.0435,82.0496,82.0277,82.0473,,,,,,,,,,,,,,82.3941,98.9392,98.9729,99.8072,99.8068,99.8067,99.7304,98.965,99.1095,100.0,,,99.8072,Chlamydia_trachomatis_L1115
Chlamydophila_parapsittaci_strain_Rostinovo-70,93.3906,93.3897,93.3754,93.4314,93.4416,78.3807,93.6443,83.1536,83.4664,82.8629,77.9593,,,,,,77.6883,83.4147,98.5367,98.5362,98.3434,99.5431,99.9917,98.4147,98.5036,98.5463,98.5733,98.2334,,,,,,,,,,,,100.0,,99.9917,Chlamydia_psittaci_strain_AMK
Waddlia_chondrophila_WSU_86-1044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,
