query,Chlamydia_abortus_strain_162STDY5437294,Chlamydia_abortus_strain_1B_cevac,Chlamydia_abortus_strain_GIMC_2006CabB577,Chlamydia_abortus_strain_NL2335-4C,Chlamydia_abortus_strain_NL2354-2D,Chlamydia_avium_10DC88,Chlamydia_buteonis_strain_IDL17-4553,Chlamydia_caviae_GPIC,Chlamydia_crocodili_strain_No._12,Chlamydia_felis_FeC-56,Chlamydia_gallinacea_08-12743,Chlamydia_muridarum_str._Nigg,Chlamydia_muridarum_str._Nigg_isolate_CM001,Chlamydia_muridarum_str._Nigg_isolate_CM008,Chlamydia_muridarum_str._Nigg_isolate_CM009,Chlamydia_muridarum_str._Nigg_isolate_CM021,Chlamydia_pecorum_E58,Chlamydia_poikilotherma_strain_S15-834K,Chlamydia_psittaci_01DC11,Chlamydia_psittaci_6BC,Chlamydia_psittaci_MN,Chlamydia_psittaci_WSRTE30,Chlamydia_psittaci_strain_AMK,Chlamydia_psittaci_strain_Ful127,Chlamydia_psittaci_strain_GIMC_2003Cps25SM,Chlamydia_psittaci_strain_GIMC_2004CpsAP23,Chlamydia_psittaci_strain_GIMC_2005CpsCP1,Chlamydia_psittaci_strain_NRM_isolate_NRM_5,Chlamydia_serpentis_strain_H15-1957-10C,Chlamydia_suis_isolate_4-29b,Chlamydia_trachomatis_A2497,Chlamydia_trachomatis_EBour,Chlamydia_trachomatis_L1115,Chlamydia_trachomatis_L2b820007,Chlamydia_trachomatis_L2bUCH-2,Chlamydia_trachomatis_RC-L255,Chlamydia_trachomatis_strain_E-32931,Chlamydia_trachomatis_strain_QH111L,Chlamydia_trachomatis_strain_tet9,Chlamydophila_parapsittaci_strain_Rostinovo-70,max_value,max_column
Chlamydia_gallinacea_08-12743,78.1179,78.1179,78.1017,78.1888,78.1888,81.9725,78.2237,78.4645,78.3305,77.9289,100.0,,,,,,,78.2495,77.9437,78.035,78.0892,77.9104,77.99,78.0409,77.9393,77.9782,77.9782,78.1204,77.4479,,,,,,,,,,,77.99,81.9725,Chlamydia_avium_10DC88
Chlamydia_muridarum_str._Nigg,,,,,,,,,,,,100.0,99.9946,99.9952,99.9946,99.9939,,,,,,,,,,,,,,82.5623,81.947,82.0838,82.067,82.0158,82.0158,81.907,82.0835,81.8989,82.2776,,99.9952,Chlamydia_muridarum_str._Nigg_isolate_CM008
Chlamydia_muridarum_str._Nigg_isolate_CM001,,,,,,,,,,,,99.9946,100.0,99.9973,99.9968,99.9964,,,,,,,,,,,,,,82.6226,81.9794,82.0791,82.0907,82.0373,82.0373,81.9329,82.0642,81.9144,82.2661,,99.9973,Chlamydia_muridarum_str._Nigg_isolate_CM008
Chlamydia_muridarum_str._Nigg_isolate_CM008,,,,,,,,,,,,99.9952,99.9973,100.0,99.9982,99.9971,,,,,,,,,,,,,,82.5741,81.9501,82.079,82.0697,82.064,82.064,81.9108,82.0755,81.8972,82.2789,,99.9982,Chlamydia_muridarum_str._Nigg_isolate_CM009
Chlamydia_muridarum_str._Nigg_isolate_CM009,,,,,,,,,,,,99.9947,99.9967,99.9982,100.0,99.9965,,,,,,,,,,,,,,82.5919,81.9512,82.0849,82.0803,82.0396,82.0396,81.9064,82.0637,81.9295,82.2779,,99.9982,Chlamydia_muridarum_str._Nigg_isolate_CM008
Chlamydia_muridarum_str._Nigg_isolate_CM021,,,,,,,,,,,,99.9938,99.9964,99.9971,99.9964,100.0,,,,,,,,,,,,,,82.6062,81.9733,82.0786,82.0531,82.0616,82.0616,81.9098,82.0513,81.978,82.2454,,99.9971,Chlamydia_muridarum_str._Nigg_isolate_CM008
Chlamydia_pecorum_E58,77.2971,77.2971,77.3546,77.3468,77.3468,,77.5231,77.7045,77.2532,,,,,,,,100.0,77.3554,77.6657,77.4549,77.6883,77.7585,77.481,77.7377,77.664,77.6657,77.6657,77.609,,,,,,,,,,,,77.481,77.7585,Chlamydia_psittaci_WSRTE30
Chlamydia_poikilotherma_strain_S15-834K,83.0727,83.0727,83.0685,83.1671,83.1671,78.3494,83.7205,87.0825,92.4403,83.7786,78.2162,,,,,,,100.0,83.5192,83.6624,83.5304,83.644,83.5034,83.6085,83.4257,83.5452,83.5452,83.4737,77.8998,,,,,,,,,,,83.453,92.4403,Chlamydia_crocodili_strain_No._12
Chlamydia_psittaci_01DC11,92.8508,92.8504,92.8399,92.9295,92.9256,78.2024,93.7621,83.265,83.6508,82.7128,78.1599,,,,,,77.7827,83.6542,100.0,99.9795,99.3221,98.8312,98.5791,99.4734,99.9453,99.9849,99.985,99.3166,77.7122,,,,,,,,,,,98.5844,99.985,Chlamydia_psittaci_strain_GIMC_2005CpsCP1
Chlamydia_psittaci_6BC,92.8631,92.8623,92.8776,92.934,92.9301,78.4721,93.7062,83.3495,83.559,82.7207,78.0564,,,,,,77.4287,83.7053,99.9816,100.0,99.3255,98.8956,98.5512,99.4845,99.9573,99.9885,99.9885,99.3224,77.9236,,,,,,,,,,,98.577,99.9885,Chlamydia_psittaci_strain_GIMC_2004CpsAP23
Chlamydia_psittaci_MN,92.7231,92.7228,92.7276,92.8102,92.8102,78.13,93.5008,83.2805,83.4203,82.6836,77.96,,,,,,77.8862,83.4519,99.3129,99.3168,100.0,98.6885,98.2607,99.1931,99.2964,99.3181,99.318,99.9692,77.5047,,,,,,,,,,,98.2481,99.9692,Chlamydia_psittaci_strain_NRM_isolate_NRM_5
Chlamydia_psittaci_WSRTE30,93.2677,93.2675,93.2574,93.208,93.2266,78.4107,93.7029,83.2479,83.643,82.8358,77.924,,,,,,77.7104,83.5097,98.8162,98.8206,98.6068,100.0,99.5417,98.734,98.8044,98.8172,98.8173,98.6049,77.6273,,,,,,,,,,,99.5434,99.5434,Chlamydophila_parapsittaci_strain_Rostinovo-70
Chlamydia_psittaci_strain_AMK,93.3865,93.3857,93.3649,93.3926,93.3926,78.4289,93.6335,83.1588,83.436,82.8976,77.9217,,,,,,77.7431,83.4188,98.5352,98.5302,98.3556,99.5401,100.0,98.4151,98.4991,98.5676,98.5676,98.2374,77.7559,,,,,,,,,,,99.9916,99.9916,Chlamydophila_parapsittaci_strain_Rostinovo-70
Chlamydia_psittaci_strain_Ful127,92.8676,92.8671,92.857,93.01,93.01,78.4194,93.6728,83.2978,83.5559,82.8985,78.1409,,,,,,77.8045,83.5782,99.5069,99.506,99.2277,98.8225,98.476,100.0,99.4465,99.5104,99.5105,99.2366,77.4057,,,,,,,,,,,98.477,99.5105,Chlamydia_psittaci_strain_GIMC_2005CpsCP1
Chlamydia_psittaci_strain_GIMC_2003Cps25SM,92.864,92.8635,92.8579,92.8636,92.8639,78.5586,93.7069,83.1538,83.5003,82.7188,78.1263,,,,,,77.3574,83.4256,99.9513,99.9576,99.2798,98.8599,98.516,99.4498,100.0,99.9654,99.9655,99.282,,,,,,,,,,,,98.5195,99.9655,Chlamydia_psittaci_strain_GIMC_2005CpsCP1
Chlamydia_psittaci_strain_GIMC_2004CpsAP23,92.8433,92.8427,92.835,92.936,92.9352,78.3885,93.7192,83.2038,83.4953,82.633,78.2609,,,,,,77.7602,83.5863,99.985,99.9865,99.318,98.8381,98.5293,99.4776,99.9615,100.0,99.9996,99.3205,77.8284,,,,,,,,,,,98.5019,99.9996,Chlamydia_psittaci_strain_GIMC_2005CpsCP1
Chlamydia_psittaci_strain_GIMC_2005CpsCP1,92.8413,92.841,92.8396,92.9327,92.9329,78.2327,93.727,83.2128,83.4783,82.6432,78.2479,,,,,,77.7711,83.5523,99.985,99.9863,99.3244,98.9017,98.5926,99.4783,99.9616,99.9995,100.0,99.3209,77.7737,,,,,,,,,,,98.5638,99.9995,Chlamydia_psittaci_strain_GIMC_2004CpsAP23
Chlamydia_psittaci_strain_NRM_isolate_NRM_5,92.7652,92.7651,92.7377,92.7311,92.7311,78.1989,93.5795,83.1661,83.4582,82.7192,78.1817,,,,,,77.6355,83.4856,99.3105,99.3148,99.9692,98.6583,98.2378,99.1913,99.2999,99.314,99.3139,100.0,77.6212,,,,,,,,,,,98.2266,99.9692,Chlamydia_psittaci_MN
Chlamydia_serpentis_strain_H15-1957-10C,77.7279,77.7279,77.724,77.7995,77.7995,,,78.0081,78.1221,,77.4082,,,,,,,77.9052,77.6784,77.9086,,77.7785,77.4814,77.8727,77.8556,77.6613,77.6613,,100.0,,,,,,,,,,,77.7141,78.1221,Chlamydia_crocodili_strain_No._12
Chlamydia_suis_isolate_4-29b,,,,,,,,,,,,82.7362,82.7317,82.7284,82.7317,82.6825,,,,,,,,,,,,,,100.0,81.0986,81.3185,81.2394,81.2945,81.2945,81.391,81.4824,81.1151,81.9571,,82.7362,Chlamydia_muridarum_str._Nigg
Chlamydia_trachomatis_A2497,,,,,,,,,,,,82.1051,82.1562,82.1617,82.1521,82.1691,,,,,,,,,,,,,,81.1075,100.0,99.2595,99.1032,99.1006,99.1005,99.1253,99.271,99.74,98.981,,99.74,Chlamydia_trachomatis_strain_QH111L
Chlamydia_trachomatis_EBour,,,,,,,,,,,,82.0407,82.0017,82.0064,81.9869,81.9949,,,,,,,,,,,,,,81.3972,99.2523,100.0,99.1772,99.1824,99.1824,99.2323,99.8927,99.2589,99.0487,,99.8927,Chlamydia_trachomatis_strain_E-32931
Chlamydia_trachomatis_L1115,,,,,,,,,,,,82.3594,82.3172,82.2975,82.3096,82.3122,,,,,,,,,,,,,,81.4477,99.0987,99.1751,100.0,99.9446,99.9446,99.901,99.1741,99.1086,99.8166,,99.9446,Chlamydia_trachomatis_L2b820007
Chlamydia_trachomatis_L2b820007,,,,,,,,,,,,82.3768,82.3323,82.3373,82.3282,82.3309,,,,,,,,,,,,,,81.2831,99.0969,99.181,99.944,100.0,99.9998,99.9012,99.1837,99.1067,99.8169,,99.9998,Chlamydia_trachomatis_L2bUCH-2
Chlamydia_trachomatis_L2bUCH-2,,,,,,,,,,,,82.3747,82.3302,82.3352,82.3261,82.3288,,,,,,,,,,,,,,81.283,99.0969,99.1809,99.9439,99.9998,100.0,99.9012,99.1837,99.1067,99.817,,99.9998,Chlamydia_trachomatis_L2b820007
Chlamydia_trachomatis_RC-L255,,,,,,,,,,,,82.2499,82.2015,82.1991,82.1989,82.2628,,,,,,,,,,,,,,81.187,99.1275,99.228,99.9025,99.9011,99.9011,100.0,99.2207,99.1287,99.8156,,99.9025,Chlamydia_trachomatis_L1115
Chlamydia_trachomatis_strain_E-32931,,,,,,,,,,,,82.1811,82.1288,82.1396,82.1194,82.124,,,,,,,,,,,,,,81.72,99.2546,99.8786,99.1693,99.1734,99.1734,99.2134,100.0,99.2759,99.0563,,99.8786,Chlamydia_trachomatis_EBour
Chlamydia_trachomatis_strain_QH111L,,,,,,,,,,,,81.9188,81.9809,81.9863,81.9683,81.9855,,,,,,,,,,,,,,81.3091,99.7386,99.259,99.1164,99.1155,99.1156,99.1351,99.282,100.0,99.1117,,99.7386,Chlamydia_trachomatis_A2497
Chlamydia_trachomatis_strain_tet9,,,,,,,,,,,,82.0907,82.0435,82.0496,82.0277,82.0473,,,,,,,,,,,,,,82.3941,98.9392,98.9729,99.8072,99.8068,99.8067,99.7304,98.965,99.1095,100.0,,99.8072,Chlamydia_trachomatis_L1115
Chlamydophila_parapsittaci_strain_Rostinovo-70,93.3906,93.3897,93.3754,93.427,93.4348,78.3906,93.6389,83.1589,83.4788,82.8771,77.9449,,,,,,77.6883,83.4218,98.5367,98.5325,98.3394,99.5418,99.9917,98.4155,98.4999,98.5427,98.5697,98.2292,,,,,,,,,,,,100.0,99.9917,Chlamydia_psittaci_strain_AMK
